assignment_id,feature_id,engineer_id,version,feature_name,group_id,lifecycle_status,progress_pct
A0062,F0062,E05,2023.12.8,Points of Interest,4,released,100
A0063,F0063,E06,2023.12.8,Voice Recognition Language,6,released,100
A0064,F0064,E02,2023.12.8,Speed Assist,1,released,100
A0065,F0065,E06,2023.12.8,Zoom Meetings,6,released,100
A0066,F0066,E04,2023.12.8,Get to Know Your Tesla,3,released,100
A0067,F0067,E06,2023.12.8,Handwriting,6,released,100
A0068,F0068,E04,2023.12.8,Rename Vehicle in App,3,released,100
A0069,F0069,E03,2023.12.8,Improvements to Automatic Emergency Braking,2,released,100
A0070,F0070,E04,2023.12.8,Parked Visualization,3,released,100
A0071,F0071,E04,2023.12.8,Speedometer Font,3,released,100
A0072,F0072,E05,2023.12.8,Nav Improvements,4,released,100
A0073,F0073,E04,2023.12.8,Favoriting Songs,5,released,100
A0074,F0074,E04,2023.12.8,Adjust Wiper Speed,3,released,100
A0075,F0075,E08,2023.12.8,Air Suspension,7,released,100
A0076,F0076,E04,2023.12.8,Tesla Theater Icons,5,released,100
A0077,F0077,E04,2023.12.8,App Drawer,3,released,100
A0078,F0078,E04,2023.12.8,New Labels,3,released,100
A0079,F0079,E04,2023.12.8,Charging Screen,3,released,100
A0080,F0080,E01,2023.12.9,Autopilot Features,1,released,100
A0081,F0081,E02,2023.12.9,Stopping Mode,1,released,100
A0082,F0082,E04,2023.12.9,Refresh Your Data Sharing Settings,3,released,100
A0083,F0083,E04,2023.12.9,Regenerative Braking,3,released,100
A0084,F0084,E04,2023.12.9,Power Meter,3,released,100
A0085,F0085,E04,2023.12.9,Track Mode,3,released,100
A0086,F0086,E06,2023.12.9,Phone Call Controls,6,released,100
A0087,F0087,E04,2023.12.9,Text Size,3,released,100
A0088,F0088,E04,2023.12.9,Scroll Wheel Customization,3,released,100
A0089,F0089,E04,2023.12.9,Controls Search,3,released,100
A0090,F0090,E04,2023.12.9,Gear Chimes,3,released,100
A0091,F0091,E04,2023.12.9,Passenger Seat Controls,3,released,100
A0092,F0092,E05,2023.12.9,Points of Interest,4,released,100
A0093,F0093,E06,2023.12.9,Voice Recognition Language,6,released,100
A0094,F0094,E01,2023.12.9,Speed Assist,1,released,100
A0095,F0095,E06,2023.12.9,Zoom Meetings,6,released,100
A0096,F0096,E04,2023.12.9,Get to Know Your Tesla,3,released,100
A0097,F0097,E06,2023.12.9,Handwriting,6,released,100
A0098,F0098,E04,2023.12.9,Rename Vehicle in App,3,released,100
A0099,F0099,E07,2023.12.9,Improvements to Automatic Emergency Braking,2,released,100
A0100,F0100,E04,2023.12.9,Parked Visualization,3,released,100
A0101,F0101,E04,2023.12.9,Speedometer Font,3,released,100
A0102,F0102,E05,2023.12.9,Nav Improvements,4,released,100
A0103,F0103,E04,2023.12.9,Favoriting Songs,5,released,100
A0104,F0104,E04,2023.12.9,Adjust Wiper Speed,3,released,100
A0105,F0105,E08,2023.12.9,Air Suspension,7,released,100
A0106,F0106,E04,2023.12.9,Tesla Theater Icons,5,released,100
A0107,F0107,E04,2023.12.9,App Drawer,3,released,100
A0108,F0108,E04,2023.12.9,New Labels,3,released,100
A0109,F0109,E04,2023.12.9,Charging Screen,3,released,100
A0110,F0110,E04,2023.2.0.5,Auto Steering Wheel Heat,3,released,100
A0111,F0111,E03,2023.2.0.5,Sentry Mode Lighting,2,released,100
A0112,F0112,E02,2023.2.0.5,Speed Assist,1,released,100
A0113,F0113,E06,2023.2.0.5,Thai Voice Navigation,6,released,100
A0114,F0114,E06,2023.2.0.5,Handwriting Keyboard,6,released,100
A0115,F0115,E06,2023.2.0.5,WeChat Mini Programs,6,released,100
A0116,F0116,E04,2023.2.0.5,Mango TV,5,released,100
A0117,F0117,E04,2023.2.0.5,Improvements to Service Mode,3,released,100
A0118,F0118,E05,2023.2.0.5,Supercharger Prices,4,released,100
A0119,F0119,E07,2023.2.0.5,View Cabin Camera,2,released,100
A0120,F0120,E04,2023.2.0.5,Seat Heater Icons,3,released,100
A0121,F0121,E08,2023.2.0.5,Suspension Menu,7,released,100
A0122,F0122,E04,2023.2.10,Auto Steering Wheel Heat,3,released,100
A0123,F0123,E03,2023.2.10,Sentry Mode Lighting,2,released,100
A0124,F0124,E01,2023.2.10,Speed Assist,1,released,100
A0125,F0125,E04,2023.2.10,Mahjong,5,released,100
A0126,F0126,E06,2023.2.10,Thai Voice Navigation,6,released,100
A0127,F0127,E06,2023.2.10,Handwriting Keyboard,6,released,100
A0128,F0128,E06,2023.2.10,WeChat Mini Programs,6,released,100
A0129,F0129,E04,2023.2.10,Mango TV,5,released,100
A0130,F0130,E04,2023.2.10,Improvements to Service Mode,3,released,100
A0131,F0131,E05,2023.2.10,Supercharger Prices,4,released,100
A0132,F0132,E07,2023.2.10,View Cabin Camera,2,released,100
A0133,F0133,E04,2023.2.10,Seat Heater Icons,3,released,100
A0134,F0134,E08,2023.2.10,Suspension Menu,7,released,100
A0135,F0135,E04,2023.20,Text Size,3,released,100
A0136,F0136,E04,2023.20,Tire Service Mileage,3,released,100
A0137,F0137,E04,2023.20,Windshield Wiper Control,3,released,100
A0138,F0138,E06,2023.20,Phone Key,6,released,100
A0139,F0139,E04,2023.20,New Data Sharing Policy,3,released,100
A0140,F0140,E04,2023.20.4.1,Tire Service,3,released,100
A0141,F0141,E04,2023.20.4.1,Tire Service Mileage,3,released,100
A0142,F0142,E04,2023.20.4.1,Text Size,3,released,100
A0143,F0143,E06,2023.20.4.1,Pinyin Keyboard,6,released,100
A0144,F0144,E04,2023.20.4.1,Windshield Wiper Control,3,released,100
A0145,F0145,E06,2023.20.4.1,Phone Key,6,released,100
A0146,F0146,E04,2023.20.4.1,New Data Sharing Policy,3,released,100
A0147,F0147,E05,2023.20.4.1,Navigation Improvements,4,released,100
A0148,F0148,E03,2023.20.4.1,Set PIN to Drive,2,released,100
A0149,F0149,E08,2023.20.4.1,View All Cameras,7,released,100
A0150,F0150,E04,2023.20.4.1,Current Trip Odometer,3,released,100
A0151,F0151,E04,2023.20.4.1,Passenger Climate Temperature,3,released,100
A0152,F0152,E02,2023.20.4.1,FSD Beta?,1,released,100
A0153,F0153,E01,2023.20.6,Full Self-Driving (Beta),1,released,100
A0154,F0154,E02,2023.20.6,FSD Beta v11.3.6,1,released,100
A0155,F0155,E01,2023.20.6,Full Self-Driving (Beta) Suspension,1,released,100
A0156,F0156,E04,2023.20.6,Tire Service,3,released,100
A0157,F0157,E04,2023.20.6,Tire Service Mileage,3,released,100
A0158,F0158,E04,2023.20.6,Text Size,3,released,100
A0159,F0159,E06,2023.20.6,Pinyin Keyboard,6,released,100
A0160,F0160,E04,2023.20.6,Windshield Wiper Control,3,released,100
A0161,F0161,E06,2023.20.6,Phone Key,6,released,100
A0162,F0162,E04,2023.20.6,New Data Sharing Policy,3,released,100
A0163,F0163,E05,2023.20.6,Navigation Improvements,4,released,100
A0164,F0164,E07,2023.20.6,Set PIN to Drive,2,released,100
A0165,F0165,E08,2023.20.6,View All Cameras,7,released,100
A0166,F0166,E04,2023.20.6,Current Trip Odometer,3,released,100
A0167,F0167,E04,2023.20.6,Passenger Climate Temperature,3,released,100
A0168,F0168,E03,2023.26,Blind Spot Camera,2,released,100
A0169,F0169,E04,2023.26,Customize the Scroll Wheel,3,released,100
A0170,F0170,E04,2023.26,Destination Closing Soon,3,released,100
A0171,F0171,E04,2023.26,Spotify Refresh,5,released,100
A0172,F0172,E06,2023.26,Bluetooth Game Controllers,6,released,100
A0173,F0173,E08,2023.26,Warmer Display Colors,7,released,100
A0174,F0174,E08,2023.26,Automatic Headlights,7,released,100
A0175,F0175,E05,2023.26,Charge On Solar,4,released,100
A0176,F0176,E08,2023.26,Camera View on Tesla App,7,released,100
A0177,F0177,E04,2023.26,Vampire Survivors Game,5,released,100
A0178,F0178,E04,2023.26,Other Updates,3,released,100
A0179,F0179,E06,2023.26,Improved Phone Calls,6,released,100
A0180,F0180,E04,2023.26,Service Mode Improvements,3,released,100
A0181,F0181,E05,2023.26,Supercharging Details,4,released,100
A0182,F0182,E05,2023.26,Automatic Navigation Improvements,4,released,100
A0183,F0183,E04,2023.26,Updated Apps Badge,3,released,100
A0184,F0184,E05,2023.26,Daily Charge Limit,4,released,100
A0185,F0185,E04,2023.26,Updated Manual App,3,released,100
A0186,F0186,E07,2023.26.10,Cabin Camera,2,released,100
A0187,F0187,E02,2023.26.10,Full Self-Driving (Beta),1,released,100
A0188,F0188,E01,2023.26.10,FSD Beta v11.4.4,1,released,100
A0189,F0189,E04,2023.26.10,Driving Visualization Improvements,3,released,100
A0190,F0190,E02,2023.26.10,Full Self-Driving (Beta) Suspension,1,released,100
A0191,F0191,E03,2023.26.10,Blind Spot Camera,2,released,100
A0192,F0192,E04,2023.26.10,Customize the Scroll Wheel,3,released,100
A0193,F0193,E04,2023.26.10,Destination Closing Soon,3,released,100
A0194,F0194,E04,2023.26.10,Spotify Refresh,5,released,100
A0195,F0195,E06,2023.26.10,Bluetooth Game Controllers,6,released,100
A0196,F0196,E08,2023.26.10,Warmer Display Colors,7,released,100
A0197,F0197,E08,2023.26.10,Automatic Headlights,7,released,100
A0198,F0198,E05,2023.26.10,Charge On Solar,4,released,100
A0199,F0199,E08,2023.26.10,Camera View on Tesla App,7,released,100
A0200,F0200,E04,2023.26.10,Vampire Survivors Game,5,released,100
A0201,F0201,E04,2023.26.10,Other Updates,3,released,100
A0202,F0202,E06,2023.26.10,Improved Phone Calls,6,released,100
A0203,F0203,E04,2023.26.10,Service Mode Improvements,3,released,100
A0204,F0204,E05,2023.26.10,Supercharging Details,4,released,100
A0205,F0205,E05,2023.26.10,Automatic Navigation Improvements,4,released,100
A0206,F0206,E04,2023.26.10,Updated Apps Badge,3,released,100
A0207,F0207,E05,2023.26.10,Daily Charge Limit,4,released,100
A0208,F0208,E04,2023.26.10,Updated Manual App,3,released,100
A0209,F0209,E07,2023.31.600,Drowsiness Warning,2,released,100
A0210,F0210,E04,2023.31.600,Minor Fixes,3,released,100
A0211,F0211,E04,2023.32,Detailed Intersection View,3,released,100
A0212,F0212,E06,2023.32,Hebrew Language Added,6,released,100
A0213,F0213,E01,2023.32,Improved Autopilot Visualizations,1,released,100
A0214,F0214,E08,2023.32,Improved Reverse Camera View,7,released,100
A0215,F0215,E04,2023.32,Service Mode Release Notes,3,released,100
A0216,F0216,E08,2023.32,Improved Camera Clarity,7,released,100
A0217,F0217,E04,2023.32,Service Mode ECU Status,3,released,100
A0218,F0218,E04,2023.32,Volume Indicator,5,released,100
A0219,F0219,E04,2023.32.4,Detailed Intersection View,3,released,100
A0220,F0220,E06,2023.32.4,Hebrew Language Added,6,released,100
A0221,F0221,E02,2023.32.4,FSD Beta v11.4.4,1,released,100
A0222,F0222,E01,2023.32.4,Improved Autopilot Visualizations,1,released,100
A0223,F0223,E08,2023.32.4,Improved Reverse Camera View,7,released,100
A0224,F0224,E04,2023.32.4,Service Mode Release Notes,3,released,100
A0225,F0225,E08,2023.32.4,Improved Camera Clarity,7,released,100
A0226,F0226,E04,2023.32.4,Service Mode ECU Status,3,released,100
A0227,F0227,E04,2023.32.4,Volume Indicator,5,released,100
A0228,F0228,E03,2023.38,Faster Hazard Lights After a Crash,2,released,100
A0229,F0229,E04,2023.38,Predictive Charger Availability,3,released,100
A0230,F0230,E04,2023.38,Multiplayer Vampire Survivors,5,released,100
A0231,F0231,E06,2023.38,Location Sharing,6,released,100
A0232,F0232,E04,2023.38,Windows During Update,3,released,100
A0233,F0233,E04,2023.38,Improvements to Service Mode,3,released,100
A0234,F0234,E04,2023.38,New Privacy Options,3,released,100
A0235,F0235,E04,2023.38.8,Rear Passenger Headphones,3,released,100
A0236,F0236,E07,2023.38.8,Faster Hazard Lights After a Crash,2,released,100
A0237,F0237,E04,2023.38.8,Predictive Charger Availability,3,released,100
A0238,F0238,E04,2023.38.8,Multiplayer Vampire Survivors,5,released,100
A0239,F0239,E06,2023.38.8,Location Sharing,6,released,100
A0240,F0240,E04,2023.38.8,Windows During Update,3,released,100
A0241,F0241,E04,2023.38.8,Improvements to Service Mode,3,released,100
A0242,F0242,E02,2023.38.8,Single-Tap Autopilot Activation,1,released,100
A0243,F0243,E04,2023.38.8,New Privacy Options,3,released,100
A0244,F0244,E01,2023.44,Single Pull to Start Autopilot,1,released,100
A0245,F0245,E02,2023.44,Speed Assist,1,released,100
A0246,F0246,E05,2023.44,Destination Charging Availability,4,released,100
A0247,F0247,E04,2023.44,Radio Favorites,5,released,100
A0248,F0248,E04,2023.44,Messages App,3,released,100
A0249,F0249,E04,2023.44,Calendar App,3,released,100
A0250,F0250,E04,2023.44,All Apps Menu,3,released,100
A0251,F0251,E04,2023.44,Service Mode Improvements,3,released,100
A0252,F0252,E04,2023.44.25,Over-the-Air (OTA) Recall,3,released,100
A0253,F0253,E01,2023.44.25,Autopilot Suspension,1,released,100
A0254,F0254,E02,2023.44.25,FSD Beta 11.4.9,1,released,100
A0255,F0255,E03,2023.44.25,Cabin Camera,2,released,100
A0256,F0256,E05,2023.44.25,Alternate Routes While Driving,4,released,100
A0257,F0257,E04,2023.44.25,Custom Lock Sounds,3,released,100
A0258,F0258,E01,2023.44.25,Park Assist Upgrade,1,released,100
A0259,F0259,E04,2023.44.25,Castle Doombad Game,5,released,100
A0260,F0260,E04,2023.44.25,Play Games on Rear Screen,5,released,100
A0261,F0261,E04,2023.44.25,Apple Podcasts,5,released,100
A0262,F0262,E04,2023.44.25,Rear Passenger Headphones,3,released,100
A0263,F0263,E04,2023.44.25,Tesla Arcade Updates,5,released,100
A0264,F0264,E07,2023.44.25,Automatic 911 Calls,2,released,100
A0265,F0265,E02,2023.44.25,Speed Cameras on Your Route,1,released,100
A0266,F0266,E05,2023.44.25,Trip Planner on Mobile App,4,released,100
A0267,F0267,E08,2023.44.25,More Cameras in Live Camera View,7,released,100
A0268,F0268,E03,2023.44.25,Automatic Blind Spot Camera,2,released,100
A0269,F0269,E04,2023.44.25,Light Show,5,released,100
A0270,F0270,E04,2023.44.25,Minor Updates,3,released,100
A0271,F0271,E07,2023.44.25,Cabin Camera,2,released,100
A0272,F0272,E06,2023.44.25,Improved Transition to Cellular,6,released,100
A0273,F0273,E08,2023.44.25,Improved Reverse Functions,7,released,100
A0274,F0274,E05,2023.44.25,View Supercharger Amenities on Map,4,released,100
A0275,F0275,E01,2023.44.25,Autopilot / FSD Beta Strike Reset,1,released,100
A0276,F0276,E03,2023.44.25,Cabin Camera Privacy,2,released,100
A0277,F0277,E08,2023.44.25,Dashcam,7,released,100
A0278,F0278,E04,2023.44.25,Automatic Wipers,3,released,100
A0279,F0279,E08,2023.44.25,Dashcam Viewer Improvements,7,released,100
A0280,F0280,E04,2023.44.25,Tesla Theater Improvements,5,released,100
A0281,F0281,E07,2023.44.25,Automatic Emergency Braking,2,released,100
A0282,F0282,E03,2023.44.25,Turn Off Automatic 911 Call,2,released,100
A0283,F0283,E02,2023.44.30.10,FSD Beta v12.1,1,released,100
A0284,F0284,E01,2023.44.30.11,FSD Beta v12.1.1,1,released,100
A0285,F0285,E02,2023.44.30.12,FSD Beta v12.1.2,1,released,100
A0286,F0286,E01,2023.44.30.12,Automatic Speed Offset,1,released,100
A0287,F0287,E02,2023.44.30.15,FSD Beta v12.2,1,released,100
A0288,F0288,E07,2023.44.30.15,Over-the-Air Recall: Telltale Text Size,2,released,100
A0289,F0289,E01,2023.44.30.15,Automatic Speed Offset,1,released,100
A0290,F0290,E02,2023.44.30.20,FSD Beta v12.2.1,1,released,100
A0291,F0291,E03,2023.44.30.20,Over-the-Air Recall: Telltale Text Size,2,released,100
A0292,F0292,E01,2023.44.30.20,Removal of TACC with FSD Beta,1,released,100
A0293,F0293,E05,2023.44.30.20,U-Turns,4,released,100
A0294,F0294,E02,2023.44.30.20,Automatic Speed Offset,1,released,100
A0295,F0295,E01,2023.44.30.25,FSD Beta v12.3,1,released,100
A0296,F0296,E02,2023.44.30.25,Removal of TACC with FSD Beta,1,released,100
A0297,F0297,E05,2023.44.30.25,U-Turns,4,released,100
A0298,F0298,E01,2023.44.30.25,Automatic Speed Offset,1,released,100
A0299,F0299,E02,2023.44.30.30,FSD Beta v12.3.1,1,released,100
A0300,F0300,E01,2023.44.30.30,Single Pull in FSD Beta,1,released,100
A0301,F0301,E02,2023.44.30.30,Removal of TACC with FSD Beta,1,released,100
A0302,F0302,E05,2023.44.30.30,U-Turns,4,released,100
A0303,F0303,E01,2023.44.30.30,Automatic Speed Offset,1,released,100
A0304,F0304,E04,2023.6.1,Steering Wheel Heat,3,released,100
A0305,F0305,E06,2023.6.1,New Language Support,6,released,100
A0306,F0306,E07,2023.6.1,Dog Mode,2,released,100
A0307,F0307,E03,2023.6.1,Sentry Mode Live Camera Access,2,released,100
A0308,F0308,E05,2023.6.1,Trip Planner,4,released,100
A0309,F0309,E06,2023.6.1,Zoom Meetings,6,released,100
A0310,F0310,E04,2023.6.1,Apple Music,5,released,100
A0311,F0311,E06,2023.6.1,App Displays the Vehicle's Route,6,released,100
A0312,F0312,E04,2023.6.1,Manual App,3,released,100
A0313,F0313,E08,2023.6.1,Reverse Camera,7,released,100
A0314,F0314,E04,2023.6.1,Climate System Warming Up,3,released,100
A0315,F0315,E04,2023.6.1,Browser,3,released,100
A0316,F0316,E04,2023.6.1,Tire Pressure Card,3,released,100
A0317,F0317,E04,2023.6.1,Improvements to Apple Music,5,released,100
A0318,F0318,E04,2023.6.1,Welcome Screen,3,released,100
A0319,F0319,E04,2023.6.100.1,Regenerative Braking,3,released,100
A0320,F0320,E04,2023.6.100.1,Power Meter,3,released,100
A0321,F0321,E06,2023.6.100.1,App Displays the Vehicle's Route,6,released,100
A0322,F0322,E02,2023.6.15,Full Self-Driving (Beta),1,released,100
A0323,F0323,E01,2023.6.15,FSD Beta v11.4,1,released,100
A0324,F0324,E04,2023.6.15,Driving Visualization Improvements,3,released,100
A0325,F0325,E02,2023.6.15,Full Self-Driving (Beta) Suspension,1,released,100
A0326,F0326,E01,2023.6.15,Park Assist,1,released,100
A0327,F0327,E04,2023.6.15,Steering Wheel Heat,3,released,100
A0328,F0328,E04,2023.6.15,Auto Steering Wheel Heat,3,released,100
A0329,F0329,E06,2023.6.15,New Language Support,6,released,100
A0330,F0330,E07,2023.6.15,Sentry Mode Lighting,2,released,100
A0331,F0331,E06,2023.6.15,Zoom Meetings,6,released,100
A0332,F0332,E04,2023.6.15,Manual App,3,released,100
A0333,F0333,E08,2023.6.15,Reverse Camera,7,released,100
A0334,F0334,E04,2023.6.15,Climate System Warming Up,3,released,100
A0335,F0335,E04,2023.6.15,Improvements to Service Mode,3,released,100
A0336,F0336,E04,2023.6.15,Browser,3,released,100
A0337,F0337,E04,2023.6.15,Tire Pressure Card,3,released,100
A0338,F0338,E04,2023.6.15,Improvements to Apple Music,5,released,100
A0339,F0339,E05,2023.6.15,Supercharger Prices,4,released,100
A0340,F0340,E04,2023.6.15,Welcome Screen,3,released,100
A0341,F0341,E04,2023.6.15,Seat Heater Icons,3,released,100
A0342,F0342,E02,2023.6.15,Updated Autopilot Menu,1,released,100
A0343,F0343,E08,2023.6.15,Suspension Menu,7,released,100
A0344,F0344,E01,2023.6.9,Park Assist,1,released,100
A0345,F0345,E04,2023.6.9,Steering Wheel Heat,3,released,100
A0346,F0346,E06,2023.6.9,New Language Support,6,released,100
A0347,F0347,E03,2023.6.9,Dog Mode,2,released,100
A0348,F0348,E07,2023.6.9,Sentry Mode Live Camera Access,2,released,100
A0349,F0349,E05,2023.6.9,Trip Planner,4,released,100
A0350,F0350,E06,2023.6.9,Zoom Meetings,6,released,100
A0351,F0351,E04,2023.6.9,Apple Music,5,released,100
A0352,F0352,E06,2023.6.9,App Displays the Vehicle's Route,6,released,100
A0353,F0353,E04,2023.6.9,Manual App,3,released,100
A0354,F0354,E08,2023.6.9,Reverse Camera,7,released,100
A0355,F0355,E04,2023.6.9,Climate System Warming Up,3,released,100
A0356,F0356,E04,2023.6.9,Browser,3,released,100
A0357,F0357,E04,2023.6.9,Tire Pressure Card,3,released,100
A0358,F0358,E04,2023.6.9,Improvements to Apple Music,5,released,100
A0359,F0359,E04,2023.6.9,Welcome Screen,3,released,100
A0360,F0360,E04,2024.14,Visual Updates,3,released,100
A0361,F0361,E04,2024.14,Hands-Free Trunk,3,released,100
A0362,F0362,E03,2024.14,Preview of Sentry Mode Recordings,2,released,100
A0363,F0363,E05,2024.14,Trip Progress Bar,4,released,100
A0364,F0364,E04,2024.14,Spotify Queue and Playback Speed,5,released,100
A0365,F0365,E05,2024.14,Better Route Available,4,released,100
A0366,F0366,E04,2024.14,Wiper Controls,3,released,100
A0367,F0367,E04,2024.14,Other Updates,3,released,100
A0368,F0368,E02,2024.14,Speed Camera Chime,1,released,100
A0369,F0369,E01,2024.14,Average Speed Zones,1,released,100
A0370,F0370,E08,2024.14,Adaptive High Beams,7,released,100
A0371,F0371,E04,2024.14,Audible,5,released,100
A0372,F0372,E04,2024.14,Beach Buggy Racing 2,5,released,100
A0373,F0373,E07,2024.14,Cabin Overheat Protection,2,released,100
A0374,F0374,E04,2024.14,Customize Scroll Wheel Functions,3,released,100
A0375,F0375,E04,2024.14,Cybertruck Colorizer,5,released,100
A0376,F0376,E08,2024.14,Improved Turning Circle,7,released,100
A0377,F0377,E04,2024.14,Front Passenger Air Vent,3,released,100
A0378,F0378,E04,2024.14,New Lock Sounds,3,released,100
A0379,F0379,E04,2024.14,Zoom,3,released,100
A0380,F0380,E04,2024.14,Security Improvements,3,released,100
A0381,F0381,E04,2024.14,New Media Player,5,released,100
A0382,F0382,E04,2024.14,Charging Display,3,released,100
A0383,F0383,E04,2024.14,Pause Trunk Opening,3,released,100
A0384,F0384,E04,2024.14,Larger Speedometer,3,released,100
A0385,F0385,E04,2024.14,Power Meter,3,released,100
A0386,F0386,E04,2024.14.3,Visual Updates,3,released,100
A0387,F0387,E04,2024.14.3,Audible,5,released,100
A0388,F0388,E04,2024.14.3,Hands-Free Trunk,3,released,100
A0389,F0389,E03,2024.14.3,Preview of Sentry Mode Recordings,2,released,100
A0390,F0390,E05,2024.14.3,Trip Progress Bar,4,released,100
A0391,F0391,E04,2024.14.3,Spotify Queue and Playback Speed,5,released,100
A0392,F0392,E05,2024.14.3,Better Route Available,4,released,100
A0393,F0393,E04,2024.14.3,Wiper Controls,3,released,100
A0394,F0394,E04,2024.14.3,Other Updates,3,released,100
A0395,F0395,E04,2024.14.3,Auto Shift (Beta),3,released,100
A0396,F0396,E02,2024.14.3,Speed Camera Chime,1,released,100
A0397,F0397,E01,2024.14.3,Average Speed Zones,1,released,100
A0398,F0398,E08,2024.14.3,Adaptive High Beams,7,released,100
A0399,F0399,E08,2024.14.3,Locking Differentials,7,released,100
A0400,F0400,E02,2024.14.3,Trail Assist,1,released,100
A0401,F0401,E04,2024.14.3,Slippery Surface,3,released,100
A0402,F0402,E01,2024.14.3,Ride and Handling with a Load,1,released,100
A0403,F0403,E04,2024.14.3,CyberTent Mode,3,released,100
A0404,F0404,E08,2024.14.3,Off-Road Mode,7,released,100
A0405,F0405,E08,2024.14.3,Terrain Options in Baja Mode,7,released,100
A0406,F0406,E04,2024.14.3,Beach Buggy Racing 2,5,released,100
A0407,F0407,E07,2024.14.3,Cabin Overheat Protection,2,released,100
A0408,F0408,E04,2024.14.3,Customize Scroll Wheel Functions,3,released,100
A0409,F0409,E04,2024.14.3,Cybertruck Colorizer,5,released,100
A0410,F0410,E08,2024.14.3,Improved Turning Circle,7,released,100
A0411,F0411,E04,2024.14.3,Front Passenger Air Vent,3,released,100
A0412,F0412,E04,2024.14.3,New Lock Sounds,3,released,100
A0413,F0413,E04,2024.14.3,Zoom,3,released,100
